experiment_group,context_type,pref_type,filename,valid_samples,domain_acc,slot_f1,slot_prec,slot_rec,pref_slot_f1,pref_slot_prec,pref_slot_rec
vanillaLLM,diag-apilist,hard,1223_imp-zs_gpt-5-mini_test1.json,344,1.0,0.0354,0.0333,0.0378,0.0574,0.0884,0.0425
vanillaLLM,diag-apilist,hard,1223_imp-zs_gpt4omini_testing.json,136,1.0,0.0159,0.0124,0.0221,0.0341,0.0517,0.0254
vanillaLLM,diag-apilist,hard,1224_imp-zs_google_codegemma-7b-it_test1.json,344,0.5174,0.023,0.0165,0.0378,0.057,0.0867,0.0425
vanillaLLM,diag-apilist,hard,1224_imp-zs_deepseek-ai_DeepSeek-R1-0528-Qwen3-8B_test1.json,344,0.0988,0.0017,0.0009,0.0087,0.0067,0.0051,0.0098
vanillaLLM,diag-apilist,hard,1224_imp-zs_Qwen_Qwen3-VL-8B-Instruct_test1.json,344,0.9913,0.0257,0.0177,0.0465,0.0593,0.0684,0.0523
vanillaLLM,diag-apilist,hard,1224_imp-pref-group_deepseek-ai_DeepSeek-R1-0528-Qwen3-8B_test1.json,344,0.0756,0.0088,0.0049,0.0407,0.0301,0.0224,0.0458
vanillaLLM,diag-apilist,hard,1223_imp-pref-group_gpt-5-mini_test1.json,344,1.0,0.2961,0.2676,0.3314,0.375,0.3775,0.3725
vanillaLLM,diag-apilist,hard,1224_imp-zs_meta-llama_Llama-3.1-8B-Instruct_test1.json,344,0.2413,0.0022,0.0011,0.1076,0.0107,0.0056,0.1209
vanillaLLM,diag-apilist,medium,1224_imp-pref-group_meta-llama_Llama-3.1-8B-Instruct_test1.json,163,0.2761,0.0162,0.0082,0.6994,0.0388,0.0199,0.7635
vanillaLLM,diag-apilist,medium,1224_imp-pref-group_deepseek-ai_DeepSeek-R1-Distill-Llama-8B_test1.json,163,0.0307,0.1434,0.0798,0.7055,0.343,0.2218,0.7568
vanillaLLM,diag-apilist,medium,1224_imp-zs_google_gemma-3-12b-it_test1.json,163,1.0,0.1978,0.2455,0.1656,0.2647,0.4821,0.1824
vanillaLLM,diag-apilist,medium,1224_imp-pref-group_Qwen_Qwen3-VL-8B-Instruct_test1.json,163,0.9877,0.2639,0.1988,0.3926,0.4444,0.4571,0.4324
vanillaLLM,diag-apilist,medium,1224_imp-pref-group_google_codegemma-7b-it_test1.json,163,0.4724,0.1781,0.1329,0.2699,0.3247,0.3577,0.2973
vanillaLLM,diag-apilist,medium,1224_imp-zs_deepseek-ai_DeepSeek-R1-Distill-Llama-8B_test1.json,163,0.0429,0.1306,0.0724,0.6687,0.294,0.185,0.7162
vanillaLLM,diag-apilist,medium,1224_imp-pref-group_google_gemma-3-12b-it_test1.json,163,1.0,0.254,0.2632,0.2454,0.3404,0.4598,0.2703
vanillaLLM,diag-apilist,medium,1223_imp-zs_gpt-5-mini_test1.json,163,1.0,0.3969,0.2919,0.6196,0.5872,0.5153,0.6824
vanillaLLM,diag-apilist,medium,1223_imp-zs_gpt4omini_testing.json,163,0.9877,0.3234,0.2266,0.5644,0.561,0.5111,0.6216
vanillaLLM,diag-apilist,medium,1224_imp-zs_google_codegemma-7b-it_test1.json,163,0.5399,0.2177,0.1622,0.3313,0.3711,0.3776,0.3649
vanillaLLM,diag-apilist,medium,1224_imp-zs_deepseek-ai_DeepSeek-R1-0528-Qwen3-8B_test1.json,163,0.0675,0.1092,0.0582,0.8957,0.2311,0.1326,0.8986
vanillaLLM,diag-apilist,medium,1224_imp-zs_Qwen_Qwen3-VL-8B-Instruct_test1.json,163,1.0,0.2544,0.2143,0.3129,0.3878,0.4435,0.3446
vanillaLLM,diag-apilist,medium,1224_imp-pref-group_deepseek-ai_DeepSeek-R1-0528-Qwen3-8B_test1.json,163,0.1718,0.1308,0.0711,0.816,0.2654,0.1579,0.8311
vanillaLLM,diag-apilist,medium,1223_imp-pref-group_gpt-5-mini_test1.json,163,1.0,0.564,0.4595,0.7301,0.6667,0.5694,0.8041
vanillaLLM,diag-apilist,medium,1224_imp-zs_meta-llama_Llama-3.1-8B-Instruct_test1.json,163,0.319,0.0177,0.009,0.6748,0.0422,0.0217,0.7297
